provider,service,sku,usage_qty,unit,cost_usd,tags,usage_date
aws,storage,gp3,772.67,GB,13143.3,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,storage,gp3,4646.2,GB,14153.15,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,storage,gp3,437.41,GB,10740.42,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,db,cloudsql,4363.44,unit,14660.38,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,db,cloudsql,3252.89,unit,14847.36,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,db,sql,114.96,unit,16294.75,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,db,rds,1152.42,unit,20687.33,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,db,sql,1079.04,unit,11026.01,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,db,sql,960.15,unit,10583.86,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,db,cloudsql,280.31,unit,17538.6,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,db,rds,1250.8,unit,11749.53,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,db,rds,4373.68,unit,10314.61,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,db,rds,4845.29,unit,20949.1,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,db,sql,4513.19,unit,11429.97,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
aws,db,sql,1433.39,unit,18077.66,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,network,data-egress,3742.4,unit,11791.77,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,network,data-egress,293.83,unit,18375.45,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,network,data-egress,2024.84,unit,24712.3,"{""app"":""researchsim"",""env"":""prod""}",2025-01-01
aws,network,egress,2922.52,unit,18593.91,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,network,lb,1984.97,unit,20769.28,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
aws,network,data-egress,56.48,unit,20031.08,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,network,lb,670.96,unit,16055.27,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,network,egress,3520.66,unit,19892.57,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
aws,network,egress,526.9,unit,23785.09,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,network,data-egress,1369.02,unit,19792.53,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,network,lb,2531.99,unit,14625.25,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,network,data-egress,27.69,unit,22221.83,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
aws,network,egress,2144.16,unit,11097.91,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,network,egress,2767.1,unit,17235.35,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
aws,network,data-egress,4495.63,unit,14025.63,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
aws,network,lb,4869.45,unit,21905.67,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
azure,compute,c5.large,3685.46,hours,29257.32,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,compute,c5.large,1918.88,hours,21323.49,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,compute,Standard_D8s_v5,1532.9,hours,41779.04,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
azure,compute,Standard_D8s_v5,1400.23,hours,22153.37,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,compute,n2-standard-8,1662.44,hours,21022.75,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,compute,c5.large,550.93,hours,32025.16,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
azure,compute,c5.large,1932.13,hours,35864.85,"{""app"":""website"",""bu"":""marketing""}",2025-01-01
azure,compute,Standard_D8s_v5,2162.17,hours,45929.76,"{""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,storage,BlobHot,3489.07,GB,17396.71,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
azure,storage,Standard,4515.0,GB,18211.62,"{""app"":""website"",""env"":""dev""}",2025-01-01
azure,storage,BlobHot,3930.94,GB,18093.54,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,storage,Standard,2371.2,GB,22021.49,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,storage,Standard,3168.37,GB,14472.95,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
azure,storage,gp3,240.61,GB,23125.18,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,storage,Standard,980.23,GB,19289.76,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,storage,gp3,4464.37,GB,21478.15,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
azure,storage,Standard,2594.61,GB,10672.36,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
azure,storage,Standard,2660.35,GB,17456.89,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,storage,Standard,2139.44,GB,22097.16,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,storage,BlobHot,3761.37,GB,21203.71,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,storage,gp3,3570.59,GB,13130.01,"{""app"":""website"",""bu"":""marketing""}",2025-01-01
azure,db,cloudsql,1077.62,unit,13583.18,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,db,sql,1953.49,unit,17721.89,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,db,sql,2390.13,unit,19738.56,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,db,sql,2695.72,unit,17311.88,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,db,sql,154.83,unit,12665.04,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
azure,db,rds,4903.8,unit,14973.79,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,db,sql,916.83,unit,11779.14,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,db,sql,1398.5,unit,19837.24,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,db,cloudsql,2701.7,unit,20405.16,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
azure,db,cloudsql,210.89,unit,9107.36,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
azure,network,egress,580.8,unit,9927.24,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,network,egress,4819.04,unit,8585.88,"{""bu"":""commerce"",""env"":""dev""}",2025-01-01
azure,network,lb,4707.94,unit,5545.14,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,network,egress,3006.05,unit,5093.29,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,network,lb,354.09,unit,8171.81,"{""bu"":""commerce"",""env"":""dev""}",2025-01-01
azure,network,egress,773.43,unit,5415.37,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
azure,network,lb,2329.72,unit,9213.74,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
azure,network,data-egress,1401.85,unit,7021.41,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,network,lb,917.38,unit,5625.77,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,network,lb,2783.4,unit,7406.31,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
azure,network,egress,3793.24,unit,8423.63,"{""app"":""researchsim"",""env"":""dev""}",2025-01-01
azure,network,lb,3462.02,unit,6175.92,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
azure,network,lb,4983.19,unit,7603.72,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
azure,network,data-egress,3609.21,unit,6230.54,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
azure,network,lb,3625.68,unit,10095.93,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,compute,c5.large,1518.32,hours,11131.33,"{""app"":""orders"",""env"":""dev""}",2025-01-01
gcp,compute,n2-standard-8,4343.62,hours,9473.56,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,compute,c5.large,4827.83,hours,7653.48,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,compute,c5.large,2889.34,hours,10966.67,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,compute,c5.large,4969.65,hours,6630.25,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,compute,Standard_D8s_v5,1493.79,hours,10219.05,"{""app"":""website"",""bu"":""marketing""}",2025-01-01
gcp,compute,c5.large,3131.32,hours,7746.38,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,compute,c5.large,23.35,hours,9165.32,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,compute,n2-standard-8,1420.76,hours,12288.64,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,compute,n2-standard-8,2953.05,hours,11863.39,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,compute,c5.large,4542.97,hours,12036.89,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,compute,n2-standard-8,4122.96,hours,12758.82,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,compute,Standard_D8s_v5,4713.95,hours,9546.81,"{""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,storage,gp3,1152.33,GB,28618.2,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
gcp,storage,BlobHot,2885.47,GB,30402.66,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,storage,BlobHot,915.63,GB,26830.57,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,storage,BlobHot,1673.21,GB,28534.52,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,storage,Standard,4726.52,GB,31416.48,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
gcp,storage,BlobHot,588.45,GB,30592.31,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
gcp,storage,BlobHot,280.48,GB,25486.55,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,storage,gp3,1342.61,GB,17702.06,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,db,cloudsql,800.31,unit,5413.13,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,db,rds,2312.62,unit,3609.75,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,db,cloudsql,1374.39,unit,6594.45,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,db,rds,4610.12,unit,5235.87,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,db,sql,1705.98,unit,6398.85,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,db,cloudsql,2903.82,unit,5867.13,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,db,cloudsql,3816.73,unit,4690.62,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
gcp,db,sql,1175.48,unit,6348.19,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-01-01
gcp,db,sql,1936.53,unit,5882.73,"{""bu"":""r&d"",""env"":""prod""}",2025-01-01
gcp,db,rds,4372.21,unit,4953.18,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,db,cloudsql,4850.08,unit,3432.33,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,network,egress,4298.12,unit,4873.21,"{""app"":""website"",""bu"":""marketing""}",2025-01-01
gcp,network,egress,3425.15,unit,4473.74,"{""app"":""orders"",""bu"":""commerce""}",2025-01-01
gcp,network,lb,840.16,unit,4525.87,"{""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,network,lb,736.39,unit,5525.09,"{""app"":""researchsim"",""env"":""prod""}",2025-01-01
gcp,network,lb,4565.02,unit,3851.61,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,network,lb,4507.04,unit,6156.63,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,network,egress,1502.78,unit,7383.2,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,network,lb,4268.14,unit,3694.35,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,network,lb,119.48,unit,6813.98,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-01-01
gcp,network,egress,4868.28,unit,7161.48,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-01-01
gcp,network,data-egress,3039.25,unit,4753.81,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-01-01
gcp,network,egress,3839.68,unit,6170.62,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-01-01
gcp,network,lb,3945.17,unit,3378.29,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-01-01
aws,compute,c5.large,669.48,hours,24433.78,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,compute,Standard_D8s_v5,4837.25,hours,19805.03,"{""app"":""website"",""env"":""prod""}",2025-02-01
aws,compute,n2-standard-8,1835.22,hours,29195.33,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,compute,n2-standard-8,3747.57,hours,19180.07,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,compute,c5.large,3101.54,hours,32084.91,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,compute,Standard_D8s_v5,4547.84,hours,19938.6,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,compute,Standard_D8s_v5,4979.68,hours,16412.65,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,compute,n2-standard-8,3485.46,hours,24448.65,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,compute,Standard_D8s_v5,3082.1,hours,32006.91,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,compute,Standard_D8s_v5,4753.27,hours,30422.67,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,storage,BlobHot,957.14,GB,6960.75,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,Standard,4855.76,GB,6389.46,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,gp3,352.36,GB,12092.55,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,storage,gp3,3945.33,GB,10742.35,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,gp3,558.53,GB,12900.96,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,storage,Standard,1625.62,GB,7376.46,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,storage,Standard,327.15,GB,9563.5,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,Standard,226.39,GB,12236.77,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,storage,gp3,4992.95,GB,12748.13,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,gp3,4497.34,GB,8556.58,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,storage,Standard,2746.3,GB,8581.11,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,storage,gp3,3967.55,GB,6898.94,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,storage,BlobHot,1701.27,GB,9605.19,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,storage,BlobHot,1877.76,GB,7204.01,"{""app"":""website"",""env"":""prod""}",2025-02-01
aws,db,rds,2786.29,unit,19421.69,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,db,cloudsql,4706.24,unit,17045.28,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,db,sql,526.97,unit,18272.89,"{""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,db,rds,3815.4,unit,19242.0,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,db,cloudsql,1344.56,unit,13520.93,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,db,rds,4350.61,unit,19128.96,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,db,rds,467.87,unit,18608.15,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,db,sql,3610.76,unit,22188.19,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,db,cloudsql,258.31,unit,12084.66,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,db,sql,1085.69,unit,18344.59,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,db,cloudsql,2438.3,unit,20593.97,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
aws,db,rds,1030.07,unit,24636.68,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,db,sql,3737.6,unit,13452.32,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
aws,network,lb,4310.2,unit,17715.88,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,network,egress,2152.13,unit,25812.9,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,network,lb,867.65,unit,37958.66,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
aws,network,data-egress,2184.03,unit,25724.06,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
aws,network,data-egress,1672.01,unit,20529.45,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,network,lb,1761.99,unit,38195.88,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,network,data-egress,875.76,unit,20188.17,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
aws,network,lb,2325.13,unit,29375.13,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
aws,network,egress,3180.14,unit,30734.31,"{""bu"":""r&d"",""env"":""dev""}",2025-02-01
azure,compute,Standard_D8s_v5,2541.61,hours,26412.9,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,compute,c5.large,3226.89,hours,43025.71,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,compute,n2-standard-8,4480.43,hours,29883.26,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,compute,c5.large,4789.03,hours,29902.92,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,compute,c5.large,3541.03,hours,43364.9,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,compute,Standard_D8s_v5,2049.76,hours,27109.31,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,compute,c5.large,1655.16,hours,32579.06,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,compute,n2-standard-8,4367.67,hours,26984.64,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,storage,gp3,2979.26,GB,20643.17,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,storage,gp3,3353.88,GB,19309.65,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,storage,BlobHot,100.97,GB,12949.25,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,storage,gp3,4999.88,GB,11066.89,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,storage,Standard,4419.57,GB,9633.64,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,storage,gp3,4158.41,GB,18602.04,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,storage,Standard,1195.28,GB,14604.28,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,storage,BlobHot,4520.83,GB,11544.71,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
azure,storage,BlobHot,2519.5,GB,14291.97,"{""app"":""orders"",""env"":""prod""}",2025-02-01
azure,storage,Standard,2408.15,GB,13711.7,"{""app"":""orders"",""bu"":""commerce"",""env"":""prod""}",2025-02-01
azure,storage,BlobHot,2252.1,GB,15449.99,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,storage,BlobHot,4424.3,GB,20551.08,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,storage,BlobHot,4972.68,GB,13756.95,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,storage,Standard,1683.1,GB,10958.1,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,db,sql,3080.59,unit,22764.96,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,db,cloudsql,3048.31,unit,16130.07,"{""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,db,rds,563.18,unit,22755.19,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""prod""}",2025-02-01
azure,db,cloudsql,726.45,unit,16212.34,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
azure,db,cloudsql,3344.39,unit,17508.04,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,db,cloudsql,2775.22,unit,15679.12,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,db,sql,3739.11,unit,15220.48,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,db,rds,3859.79,unit,20418.56,"{""app"":""website"",""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,db,cloudsql,883.69,unit,21022.87,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,db,rds,3583.06,unit,23283.92,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,db,rds,1584.82,unit,14574.07,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,db,rds,1437.69,unit,22163.91,"{""app"":""orders"",""bu"":""commerce"",""env"":""dev""}",2025-02-01
azure,db,sql,4448.54,unit,20530.2,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,db,sql,1843.06,unit,21272.37,"{""app"":""website"",""bu"":""marketing""}",2025-02-01
azure,db,cloudsql,1475.89,unit,11721.64,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,network,lb,2241.18,unit,12328.76,"{""app"":""website"",""bu"":""marketing"",""env"":""dev""}",2025-02-01
azure,network,data-egress,384.46,unit,11583.25,"{""bu"":""marketing"",""env"":""prod""}",2025-02-01
azure,network,data-egress,639.89,unit,8231.3,"{""app"":""researchsim"",""bu"":""r&d"",""env"":""dev""}",2025-02-01
azure,network,data-egress,3029.42,unit,11930.12,"{""app"":""website"",""env"":""dev""}",2025-02-01
