job_id,month,project,business_unit,application,cluster_name,cpu_hours,gpu_hours
202501-job-00088,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,30.55,12.16
202501-job-00089,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,15.56,7.16
202501-job-00090,2025-01-01,Website,Marketing,Website,hpc-alpha,69.57,32.94
202501-job-00091,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,170.44,19.0
202501-job-00092,2025-01-01,Orders,Commerce,Orders,hpc-alpha,26.24,23.94
202501-job-00093,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,143.01,5.16
202501-job-00094,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,111.2,40.07
202501-job-00095,2025-01-01,Website,Marketing,Website,hpc-alpha,83.13,28.51
202501-job-00096,2025-01-01,Website,Marketing,Website,hpc-alpha,179.21,45.97
202501-job-00097,2025-01-01,Orders,Commerce,Orders,hpc-alpha,9.21,4.92
202501-job-00098,2025-01-01,Website,Marketing,Website,hpc-alpha,133.79,1.52
202501-job-00099,2025-01-01,Website,Marketing,Website,hpc-alpha,160.96,8.18
202501-job-00100,2025-01-01,Website,Marketing,Website,hpc-alpha,79.19,9.2
202501-job-00101,2025-01-01,Website,Marketing,Website,hpc-alpha,173.29,43.84
202501-job-00102,2025-01-01,Website,Marketing,Website,hpc-alpha,13.66,7.22
202501-job-00103,2025-01-01,Orders,Commerce,Orders,hpc-alpha,198.69,15.8
202501-job-00104,2025-01-01,Website,Marketing,Website,hpc-alpha,44.9,40.39
202501-job-00105,2025-01-01,Orders,Commerce,Orders,hpc-alpha,98.31,41.72
202501-job-00106,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,79.06,46.52
202501-job-00107,2025-01-01,Website,Marketing,Website,hpc-alpha,123.11,48.87
202501-job-00108,2025-01-01,Website,Marketing,Website,hpc-alpha,106.26,25.57
202501-job-00109,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,85.75,8.23
202501-job-00110,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,58.31,18.38
202501-job-00111,2025-01-01,Orders,Commerce,Orders,hpc-alpha,5.31,20.34
202501-job-00112,2025-01-01,Orders,Commerce,Orders,hpc-alpha,63.67,47.93
202501-job-00113,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,26.79,28.37
202501-job-00114,2025-01-01,Website,Marketing,Website,hpc-alpha,77.23,46.44
202501-job-00115,2025-01-01,Orders,Commerce,Orders,hpc-alpha,29.46,33.61
202501-job-00116,2025-01-01,Website,Marketing,Website,hpc-alpha,153.42,37.53
202501-job-00117,2025-01-01,Website,Marketing,Website,hpc-alpha,142.48,8.97
202501-job-00118,2025-01-01,Orders,Commerce,Orders,hpc-alpha,148.2,35.11
202501-job-00119,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,88.73,38.88
202501-job-00120,2025-01-01,Website,Marketing,Website,hpc-alpha,137.28,13.46
202501-job-00121,2025-01-01,Orders,Commerce,Orders,hpc-alpha,15.52,28.78
202501-job-00122,2025-01-01,Website,Marketing,Website,hpc-alpha,87.98,39.13
202501-job-00123,2025-01-01,Website,Marketing,Website,hpc-alpha,180.31,9.3
202501-job-00124,2025-01-01,Orders,Commerce,Orders,hpc-alpha,59.25,24.67
202501-job-00125,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,196.81,34.48
202501-job-00126,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,133.96,34.95
202501-job-00127,2025-01-01,Website,Marketing,Website,hpc-alpha,182.23,48.62
202501-job-00128,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,113.88,42.9
202501-job-00129,2025-01-01,Orders,Commerce,Orders,hpc-alpha,75.34,43.2
202501-job-00130,2025-01-01,Website,Marketing,Website,hpc-alpha,139.92,2.6
202501-job-00131,2025-01-01,Orders,Commerce,Orders,hpc-alpha,41.52,32.49
202501-job-00132,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,27.66,14.63
202501-job-00133,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,136.45,47.34
202501-job-00134,2025-01-01,Orders,Commerce,Orders,hpc-alpha,155.06,9.65
202501-job-00135,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,146.5,7.8
202501-job-00136,2025-01-01,Orders,Commerce,Orders,hpc-alpha,185.37,34.94
202501-job-00137,2025-01-01,Website,Marketing,Website,hpc-alpha,64.01,35.89
202501-job-00138,2025-01-01,Website,Marketing,Website,hpc-alpha,98.16,38.3
202501-job-00139,2025-01-01,Website,Marketing,Website,hpc-alpha,3.34,9.86
202501-job-00140,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,44.72,7.03
202501-job-00141,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,85.84,0.22
202501-job-00142,2025-01-01,Orders,Commerce,Orders,hpc-alpha,197.7,44.16
202501-job-00143,2025-01-01,Orders,Commerce,Orders,hpc-alpha,6.39,47.46
202501-job-00144,2025-01-01,Orders,Commerce,Orders,hpc-alpha,178.38,36.0
202501-job-00145,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,59.14,45.91
202501-job-00146,2025-01-01,Orders,Commerce,Orders,hpc-alpha,78.15,12.66
202501-job-00147,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,41.5,49.64
202501-job-00148,2025-01-01,Orders,Commerce,Orders,hpc-alpha,85.15,22.57
202501-job-00149,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,76.82,47.35
202501-job-00150,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,34.11,48.87
202501-job-00151,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,121.45,24.94
202501-job-00152,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,127.99,34.87
202501-job-00153,2025-01-01,Website,Marketing,Website,hpc-alpha,2.74,16.78
202501-job-00154,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,51.39,45.87
202501-job-00155,2025-01-01,Website,Marketing,Website,hpc-alpha,175.46,29.97
202501-job-00156,2025-01-01,Orders,Commerce,Orders,hpc-alpha,112.9,18.52
202501-job-00157,2025-01-01,Website,Marketing,Website,hpc-alpha,56.71,35.76
202501-job-00158,2025-01-01,Orders,Commerce,Orders,hpc-alpha,23.63,9.39
202501-job-00159,2025-01-01,Website,Marketing,Website,hpc-alpha,124.7,38.18
202501-job-00160,2025-01-01,Orders,Commerce,Orders,hpc-alpha,181.71,46.53
202501-job-00161,2025-01-01,Website,Marketing,Website,hpc-alpha,10.93,32.65
202501-job-00162,2025-01-01,Orders,Commerce,Orders,hpc-alpha,16.41,44.95
202501-job-00163,2025-01-01,Website,Marketing,Website,hpc-alpha,78.91,23.76
202501-job-00164,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,143.36,44.73
202501-job-00165,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,12.94,43.89
202501-job-00166,2025-01-01,Orders,Commerce,Orders,hpc-alpha,190.38,36.69
202501-job-00167,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,128.15,36.41
202501-job-00168,2025-01-01,Orders,Commerce,Orders,hpc-alpha,57.88,31.9
202501-job-00169,2025-01-01,Orders,Commerce,Orders,hpc-alpha,57.09,13.6
202501-job-00170,2025-01-01,Orders,Commerce,Orders,hpc-alpha,70.37,19.25
202501-job-00171,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,68.65,34.36
202501-job-00172,2025-01-01,Website,Marketing,Website,hpc-alpha,39.0,31.72
202501-job-00173,2025-01-01,Orders,Commerce,Orders,hpc-alpha,55.61,32.29
202501-job-00174,2025-01-01,Website,Marketing,Website,hpc-alpha,62.75,15.99
202501-job-00175,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,10.94,2.1
202501-job-00176,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,3.39,46.11
202501-job-00177,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,186.35,19.07
202501-job-00178,2025-01-01,Website,Marketing,Website,hpc-alpha,22.89,42.04
202501-job-00179,2025-01-01,Website,Marketing,Website,hpc-alpha,110.23,1.8
202501-job-00180,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,8.4,44.43
202501-job-00181,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,21.44,44.87
202501-job-00182,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,139.09,32.29
202501-job-00183,2025-01-01,Orders,Commerce,Orders,hpc-alpha,97.26,5.14
202501-job-00184,2025-01-01,Orders,Commerce,Orders,hpc-alpha,22.23,25.8
202501-job-00185,2025-01-01,Website,Marketing,Website,hpc-alpha,85.43,39.94
202501-job-00186,2025-01-01,Website,Marketing,Website,hpc-alpha,23.45,28.44
202501-job-00187,2025-01-01,Website,Marketing,Website,hpc-alpha,165.49,19.27
202501-job-00188,2025-01-01,Website,Marketing,Website,hpc-alpha,116.25,35.64
202501-job-00189,2025-01-01,Orders,Commerce,Orders,hpc-alpha,133.14,7.99
202501-job-00190,2025-01-01,Orders,Commerce,Orders,hpc-alpha,95.82,2.08
202501-job-00191,2025-01-01,Website,Marketing,Website,hpc-alpha,173.1,16.64
202501-job-00192,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,42.27,9.48
202501-job-00193,2025-01-01,Website,Marketing,Website,hpc-alpha,129.08,3.35
202501-job-00194,2025-01-01,Website,Marketing,Website,hpc-alpha,84.97,21.99
202501-job-00195,2025-01-01,Orders,Commerce,Orders,hpc-alpha,109.54,12.35
202501-job-00196,2025-01-01,Orders,Commerce,Orders,hpc-alpha,197.49,28.93
202501-job-00197,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,154.32,25.46
202501-job-00198,2025-01-01,Website,Marketing,Website,hpc-alpha,32.69,20.01
202501-job-00199,2025-01-01,Orders,Commerce,Orders,hpc-alpha,19.76,45.27
202501-job-00200,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,96.91,27.98
202501-job-00201,2025-01-01,Orders,Commerce,Orders,hpc-alpha,136.58,26.97
202501-job-00202,2025-01-01,Website,Marketing,Website,hpc-alpha,185.88,21.39
202501-job-00203,2025-01-01,Website,Marketing,Website,hpc-alpha,121.35,10.4
202501-job-00204,2025-01-01,Orders,Commerce,Orders,hpc-alpha,2.29,39.43
202501-job-00205,2025-01-01,Website,Marketing,Website,hpc-alpha,41.7,45.05
202501-job-00206,2025-01-01,Website,Marketing,Website,hpc-alpha,36.58,37.7
202501-job-00207,2025-01-01,Website,Marketing,Website,hpc-alpha,118.91,40.56
202501-job-00208,2025-01-01,Orders,Commerce,Orders,hpc-alpha,51.75,3.48
202501-job-00209,2025-01-01,Website,Marketing,Website,hpc-alpha,162.39,35.51
202501-job-00210,2025-01-01,Orders,Commerce,Orders,hpc-alpha,64.67,43.74
202501-job-00211,2025-01-01,Website,Marketing,Website,hpc-alpha,188.73,21.32
202501-job-00212,2025-01-01,Orders,Commerce,Orders,hpc-alpha,1.88,27.22
202501-job-00213,2025-01-01,Orders,Commerce,Orders,hpc-alpha,188.33,0.38
202501-job-00214,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,184.85,6.25
202501-job-00215,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,168.63,31.95
202501-job-00216,2025-01-01,Orders,Commerce,Orders,hpc-alpha,111.56,35.75
202501-job-00217,2025-01-01,Orders,Commerce,Orders,hpc-alpha,190.08,39.67
202501-job-00218,2025-01-01,Website,Marketing,Website,hpc-alpha,91.72,37.34
202501-job-00219,2025-01-01,Orders,Commerce,Orders,hpc-alpha,25.05,38.0
202501-job-00220,2025-01-01,Website,Marketing,Website,hpc-alpha,28.9,6.41
202501-job-00221,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,96.67,25.2
202501-job-00222,2025-01-01,Website,Marketing,Website,hpc-alpha,40.49,39.01
202501-job-00223,2025-01-01,Orders,Commerce,Orders,hpc-alpha,2.72,45.37
202501-job-00224,2025-01-01,Orders,Commerce,Orders,hpc-alpha,15.56,41.36
202501-job-00225,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,171.65,7.04
202501-job-00226,2025-01-01,Website,Marketing,Website,hpc-alpha,135.35,24.44
202501-job-00227,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,192.9,17.44
202501-job-00228,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,97.2,41.08
202501-job-00229,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,89.96,23.48
202501-job-00230,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,167.01,39.19
202501-job-00231,2025-01-01,Website,Marketing,Website,hpc-alpha,187.0,33.89
202501-job-00232,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,126.55,5.42
202501-job-00233,2025-01-01,Website,Marketing,Website,hpc-alpha,142.25,21.73
202501-job-00234,2025-01-01,Website,Marketing,Website,hpc-alpha,81.12,22.76
202501-job-00235,2025-01-01,Website,Marketing,Website,hpc-alpha,9.1,30.47
202501-job-00236,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,76.15,42.73
202501-job-00237,2025-01-01,Orders,Commerce,Orders,hpc-alpha,58.23,13.3
202501-job-00238,2025-01-01,Orders,Commerce,Orders,hpc-alpha,123.38,18.33
202501-job-00239,2025-01-01,Orders,Commerce,Orders,hpc-alpha,187.3,41.98
202501-job-00240,2025-01-01,Orders,Commerce,Orders,hpc-alpha,197.3,18.99
202501-job-00241,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,73.54,39.02
202501-job-00242,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,40.86,34.73
202501-job-00243,2025-01-01,Orders,Commerce,Orders,hpc-alpha,167.72,28.97
202501-job-00244,2025-01-01,Website,Marketing,Website,hpc-alpha,49.53,31.19
202501-job-00245,2025-01-01,Orders,Commerce,Orders,hpc-alpha,92.27,18.09
202501-job-00246,2025-01-01,Website,Marketing,Website,hpc-alpha,96.17,12.16
202501-job-00247,2025-01-01,Orders,Commerce,Orders,hpc-alpha,152.69,16.73
202501-job-00248,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,117.76,4.13
202501-job-00249,2025-01-01,Website,Marketing,Website,hpc-alpha,8.39,35.1
202501-job-00250,2025-01-01,Orders,Commerce,Orders,hpc-alpha,14.78,35.44
202501-job-00251,2025-01-01,Orders,Commerce,Orders,hpc-alpha,84.39,1.54
202501-job-00252,2025-01-01,Orders,Commerce,Orders,hpc-alpha,27.78,17.43
202501-job-00253,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,143.84,33.47
202501-job-00254,2025-01-01,Website,Marketing,Website,hpc-alpha,182.04,29.89
202501-job-00255,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,183.78,10.17
202501-job-00256,2025-01-01,Website,Marketing,Website,hpc-alpha,58.52,25.02
202501-job-00257,2025-01-01,Orders,Commerce,Orders,hpc-alpha,72.27,44.72
202501-job-00258,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,38.19,14.18
202501-job-00259,2025-01-01,Website,Marketing,Website,hpc-alpha,94.93,4.56
202501-job-00260,2025-01-01,Website,Marketing,Website,hpc-alpha,77.5,48.51
202501-job-00261,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,101.57,20.66
202501-job-00262,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,78.08,14.18
202501-job-00263,2025-01-01,Orders,Commerce,Orders,hpc-alpha,162.65,1.15
202501-job-00264,2025-01-01,Orders,Commerce,Orders,hpc-alpha,19.23,49.75
202501-job-00265,2025-01-01,Website,Marketing,Website,hpc-alpha,138.84,40.86
202501-job-00266,2025-01-01,Website,Marketing,Website,hpc-alpha,85.23,7.31
202501-job-00267,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,29.26,19.64
202501-job-00268,2025-01-01,Website,Marketing,Website,hpc-alpha,53.51,44.45
202501-job-00269,2025-01-01,Orders,Commerce,Orders,hpc-alpha,197.71,24.9
202501-job-00270,2025-01-01,Orders,Commerce,Orders,hpc-alpha,58.73,1.97
202501-job-00271,2025-01-01,Orders,Commerce,Orders,hpc-alpha,138.15,36.73
202501-job-00272,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,29.11,27.31
202501-job-00273,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,10.88,15.21
202501-job-00274,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,76.02,0.87
202501-job-00275,2025-01-01,Orders,Commerce,Orders,hpc-alpha,118.26,27.97
202501-job-00276,2025-01-01,Website,Marketing,Website,hpc-alpha,56.68,41.2
202501-job-00277,2025-01-01,Website,Marketing,Website,hpc-alpha,175.6,20.03
202501-job-00278,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,41.38,2.85
202501-job-00279,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,139.52,9.91
202501-job-00280,2025-01-01,Orders,Commerce,Orders,hpc-alpha,64.73,21.04
202501-job-00281,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,182.01,19.07
202501-job-00282,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,152.76,44.84
202501-job-00283,2025-01-01,Orders,Commerce,Orders,hpc-alpha,18.79,2.91
202501-job-00284,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,8.51,2.62
202501-job-00285,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,118.14,3.3
202501-job-00286,2025-01-01,Website,Marketing,Website,hpc-alpha,104.69,36.36
202501-job-00287,2025-01-01,Website,Marketing,Website,hpc-alpha,170.87,26.58
202501-job-00288,2025-01-01,Orders,Commerce,Orders,hpc-alpha,35.52,32.18
202501-job-00289,2025-01-01,Orders,Commerce,Orders,hpc-alpha,67.85,47.59
202501-job-00290,2025-01-01,Orders,Commerce,Orders,hpc-alpha,67.69,44.04
202501-job-00291,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,151.44,31.25
202501-job-00292,2025-01-01,Orders,Commerce,Orders,hpc-alpha,124.71,11.51
202501-job-00293,2025-01-01,Website,Marketing,Website,hpc-alpha,141.55,31.67
202501-job-00294,2025-01-01,Website,Marketing,Website,hpc-alpha,85.51,12.12
202501-job-00295,2025-01-01,Website,Marketing,Website,hpc-alpha,79.39,26.69
202501-job-00296,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,5.92,39.44
202501-job-00297,2025-01-01,Orders,Commerce,Orders,hpc-alpha,28.93,6.86
202501-job-00298,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,86.39,3.34
202501-job-00299,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,61.32,22.94
202501-job-00300,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,196.3,38.46
202501-job-00301,2025-01-01,Orders,Commerce,Orders,hpc-alpha,174.49,45.57
202501-job-00302,2025-01-01,Orders,Commerce,Orders,hpc-alpha,15.66,41.41
202501-job-00303,2025-01-01,Orders,Commerce,Orders,hpc-alpha,8.23,17.44
202501-job-00304,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,189.43,33.72
202501-job-00305,2025-01-01,ResearchSim,R&D,ResearchSim,hpc-alpha,49.66,43.1
202501-job-00306,2025-01-01,Website,Marketing,Website,hpc-alpha,99.94,10.14
202501-job-00307,2025-01-01,Website,Marketing,Website,hpc-alpha,124.13,14.51
202501-job-00308,2025-01-01,Orders,Commerce,Orders,hpc-alpha,19.84,29.23
202501-job-00309,2025-01-01,Orders,Commerce,Orders,hpc-alpha,149.65,7.0
